Modelo,Escenario,Varianza,Paso,ECRPS_Mean
Block Bootstrapping,Estacionario_Lineal,3.0,1,0.9493596343852353
Block Bootstrapping,Estacionario_Lineal,3.0,2,0.96712117694284
Block Bootstrapping,Estacionario_Lineal,3.0,3,0.9581092877206591
Block Bootstrapping,Estacionario_Lineal,3.0,4,0.959197566890697
Block Bootstrapping,Estacionario_Lineal,3.0,5,0.9581290978200507
Block Bootstrapping,No_Estacionario_Lineal,0.2,1,0.24551552892078463
Block Bootstrapping,No_Estacionario_Lineal,0.2,2,0.24834497306405454
Block Bootstrapping,No_Estacionario_Lineal,0.2,3,0.2504110376830477
Block Bootstrapping,No_Estacionario_Lineal,0.2,4,0.24963392359492076
Block Bootstrapping,No_Estacionario_Lineal,0.2,5,0.24893855527512174
Block Bootstrapping,No_Estacionario_Lineal,0.5,1,0.3890419563247771
Block Bootstrapping,No_Estacionario_Lineal,0.5,2,0.3962687186414457
Block Bootstrapping,No_Estacionario_Lineal,0.5,3,0.39506061212631244
Block Bootstrapping,No_Estacionario_Lineal,0.5,4,0.39982200005147595
Block Bootstrapping,No_Estacionario_Lineal,0.5,5,0.3931183424932715
Block Bootstrapping,No_Estacionario_Lineal,1.0,1,0.5553918823815184
Block Bootstrapping,No_Estacionario_Lineal,1.0,2,0.5683640413110228
Block Bootstrapping,No_Estacionario_Lineal,1.0,3,0.5609583945466665
Block Bootstrapping,No_Estacionario_Lineal,1.0,4,0.5556661368491621
Block Bootstrapping,No_Estacionario_Lineal,1.0,5,0.5573081920145253
Block Bootstrapping,No_Estacionario_Lineal,3.0,1,0.9572378185125306
Block Bootstrapping,No_Estacionario_Lineal,3.0,2,0.9671592525438498
Block Bootstrapping,No_Estacionario_Lineal,3.0,3,0.9704790950732177
Block Bootstrapping,No_Estacionario_Lineal,3.0,4,0.9742812150072306
Block Bootstrapping,No_Estacionario_Lineal,3.0,5,0.9669694355150917
Block Bootstrapping,No_Lineal,0.2,1,0.2847140053391626
Block Bootstrapping,No_Lineal,0.2,2,0.27067511899267743
Block Bootstrapping,No_Lineal,0.2,3,0.2781755394958069
Block Bootstrapping,No_Lineal,0.2,4,0.27953360671042865
Block Bootstrapping,No_Lineal,0.2,5,0.282959169981435
Block Bootstrapping,No_Lineal,0.5,1,0.42139546822449286
Block Bootstrapping,No_Lineal,0.5,2,0.42444393962874516
Block Bootstrapping,No_Lineal,0.5,3,0.4289557900891164
Block Bootstrapping,No_Lineal,0.5,4,0.45391758723051123
Block Bootstrapping,No_Lineal,0.5,5,0.4425273735326222
Block Bootstrapping,No_Lineal,1.0,1,0.5940860459482848
Block Bootstrapping,No_Lineal,1.0,2,0.6268802149816323
Block Bootstrapping,No_Lineal,1.0,3,0.6385506392810097
Block Bootstrapping,No_Lineal,1.0,4,0.6124610310960423
Block Bootstrapping,No_Lineal,1.0,5,0.5862802999092178
Block Bootstrapping,No_Lineal,3.0,1,1.0365192545936892
Block Bootstrapping,No_Lineal,3.0,2,1.1429098370892565
Block Bootstrapping,No_Lineal,3.0,3,1.1050767362337375
Block Bootstrapping,No_Lineal,3.0,4,1.0900749070854492
Block Bootstrapping,No_Lineal,3.0,5,1.0666918442470068
DeepAR,Estacionario_Lineal,0.2,1,0.2715815519572569
DeepAR,Estacionario_Lineal,0.2,2,0.2730730279910761
DeepAR,Estacionario_Lineal,0.2,3,0.2727484387039345
DeepAR,Estacionario_Lineal,0.2,4,0.2652552351460421
DeepAR,Estacionario_Lineal,0.2,5,0.266305289512117
DeepAR,Estacionario_Lineal,0.5,1,0.4569721513480358
DeepAR,Estacionario_Lineal,0.5,2,0.44345678894069435
DeepAR,Estacionario_Lineal,0.5,3,0.4306052218235603
DeepAR,Estacionario_Lineal,0.5,4,0.43695417342424026
DeepAR,Estacionario_Lineal,0.5,5,0.4284583956038722
DeepAR,Estacionario_Lineal,1.0,1,0.6251117527382656
DeepAR,Estacionario_Lineal,1.0,2,0.6225636187283285
DeepAR,Estacionario_Lineal,1.0,3,0.5877714298850988
DeepAR,Estacionario_Lineal,1.0,4,0.5966382384927168
DeepAR,Estacionario_Lineal,1.0,5,0.6037039178446417
DeepAR,Estacionario_Lineal,3.0,1,1.031300969421998
DeepAR,Estacionario_Lineal,3.0,2,1.0794288123393943
DeepAR,Estacionario_Lineal,3.0,3,1.0619483274594352
DeepAR,Estacionario_Lineal,3.0,4,1.0338334588663303
